shipment_id,ship_date,delivery_date,carrier,mode,origin_state,destination_state,distance_miles,promised_days,actual_days,delayed_flag,shipping_cost
SHP00001,2025-07-28,2025-08-03,Old Dominion,Ground,CA,GA,470,4,6,1,1405.86
SHP00002,2025-08-12,2025-08-21,Old Dominion,Ground,NJ,GA,874,7,9,1,1961.85
SHP00003,2025-03-09,2025-03-13,DHL,Ground,IL,GA,616,4,4,0,1537.51
SHP00004,2025-06-23,2025-06-26,Old Dominion,Air,TX,TX,1480,2,3,1,1034.06
SHP00005,2025-10-04,2025-10-11,Old Dominion,Air,TX,CA,321,6,7,1,1583.18
SHP00006,2025-06-02,2025-06-08,Old Dominion,LTL,GA,IL,1844,5,6,1,1427.59
SHP00007,2025-06-27,2025-07-01,UPS,Ground,GA,CA,861,3,4,1,1405.34
SHP00008,2025-01-25,2025-02-02,FedEx,Ground,TX,CA,1891,7,8,1,1985.89
SHP00009,2025-04-20,2025-04-24,FedEx,LTL,TX,NJ,840,3,4,1,721.11
SHP00010,2025-01-21,2025-01-27,DHL,Ground,CA,GA,469,7,6,0,174.64
SHP00011,2025-02-03,2025-02-08,Old Dominion,LTL,NJ,GA,241,4,5,1,275.32
SHP00012,2025-08-29,2025-09-02,Old Dominion,FTL,NJ,TX,1664,5,4,0,1986.22
SHP00013,2025-10-21,2025-10-27,XPO,FTL,TX,TX,561,4,6,1,1085.86
SHP00014,2025-07-05,2025-07-11,UPS,Ground,CA,NJ,991,7,6,0,874.36
SHP00015,2025-03-24,2025-03-28,Old Dominion,LTL,TX,TX,1084,3,4,1,1297.7
SHP00016,2025-11-24,2025-12-01,XPO,Air,IL,CA,414,6,7,1,189.85
SHP00017,2025-08-17,2025-08-20,XPO,LTL,IL,NJ,1143,2,3,1,1246.31
SHP00018,2025-08-04,2025-08-09,DHL,Air,TX,IL,1289,3,5,1,1962.13
SHP00019,2025-09-14,2025-09-19,FedEx,Air,IL,GA,1788,4,5,1,1939.47
SHP00020,2025-11-07,2025-11-16,UPS,LTL,GA,CA,942,7,9,1,406.7
SHP00021,2025-02-04,2025-02-13,Old Dominion,LTL,GA,TX,1909,7,9,1,686.55
SHP00022,2025-04-15,2025-04-19,XPO,FTL,CA,GA,1285,4,4,0,1349.64
SHP00023,2025-02-13,2025-02-17,FedEx,Ground,CA,NJ,976,5,4,0,765.91
SHP00024,2025-05-17,2025-05-22,FedEx,FTL,CA,IL,963,4,5,1,1450.45
SHP00025,2025-07-19,2025-07-27,Old Dominion,Ground,CA,GA,2000,6,8,1,1019.86
SHP00026,2025-10-13,2025-10-19,Old Dominion,LTL,NJ,IL,617,4,6,1,1240.16
SHP00027,2025-08-10,2025-08-13,UPS,FTL,IL,CA,1490,2,3,1,900.15
SHP00028,2025-11-02,2025-11-10,DHL,Ground,IL,GA,728,6,8,1,1488.67
SHP00029,2025-02-06,2025-02-10,FedEx,LTL,TX,NJ,1046,4,4,0,292.55
SHP00030,2025-12-05,2025-12-10,FedEx,LTL,GA,IL,1730,4,5,1,652.88
SHP00031,2025-11-27,2025-12-06,XPO,Ground,TX,CA,1838,7,9,1,470.77
SHP00032,2025-05-03,2025-05-10,FedEx,FTL,NJ,TX,273,6,7,1,266.5
SHP00033,2025-10-23,2025-10-27,FedEx,LTL,NJ,IL,1513,4,4,0,1812.13
SHP00034,2025-01-04,2025-01-05,XPO,Ground,GA,CA,960,2,1,0,477.1
SHP00035,2025-11-23,2025-12-01,Old Dominion,FTL,NJ,TX,1605,7,8,1,297.03
SHP00036,2025-11-23,2025-11-27,UPS,LTL,IL,CA,1179,3,4,1,1804.72
SHP00037,2025-02-28,2025-03-04,DHL,LTL,CA,CA,1970,5,4,0,1123.64
SHP00038,2025-11-20,2025-11-24,XPO,FTL,CA,NJ,602,3,4,1,755.38
SHP00039,2025-09-05,2025-09-13,FedEx,FTL,GA,NJ,1509,6,8,1,1204.76
SHP00040,2025-02-16,2025-02-19,FedEx,Air,NJ,IL,388,2,3,1,496.86
SHP00041,2025-10-31,2025-11-04,UPS,Air,CA,CA,1319,2,4,1,1580.84
SHP00042,2025-02-07,2025-02-10,Old Dominion,LTL,CA,TX,1353,4,3,0,1125.21
SHP00043,2025-05-10,2025-05-13,DHL,Ground,GA,CA,1875,2,3,1,532.17
