shipment_id,ship_date,delivery_date,carrier,mode,origin_city,origin_state,destination_city,destination_state,distance_miles,promised_days,actual_days,delayed_flag,shipping_cost,customer_segment
SHP000001,2025-07-22,2025-07-28,FedEx Freight,Intermodal,FLCity3,FL,ILCity1,IL,376,7,6,0,702.24,Consumer
SHP000002,2025-02-14,2025-02-21,DHL Supply Chain,LTL,GACity1,GA,TXCity3,TX,366,5,7,1,407.31,Retail
SHP000003,2025-02-01,2025-02-09,FedEx Freight,FTL,GACity1,GA,NCCity2,NC,283,6,8,1,585.56,Industrial
SHP000004,2025-03-02,2025-03-09,UPS Supply Chain,Ground,ILCity3,IL,PACity3,PA,2374,6,7,1,4417.93,Manufacturing
SHP000005,2025-10-08,2025-10-15,UPS Supply Chain,LTL,FLCity3,FL,CACity3,CA,2391,7,7,0,2098.06,Industrial
SHP000006,2025-10-27,2025-11-02,UPS Supply Chain,Air,FLCity1,FL,OHCity3,OH,1307,5,6,1,1467.7,Healthcare
SHP000007,2025-06-25,2025-07-05,FedEx Freight,Ground,PACity3,PA,OHCity2,OH,1259,7,10,1,2003.88,Manufacturing
SHP000008,2025-09-08,2025-09-12,DHL Supply Chain,Intermodal,FLCity2,FL,ILCity3,IL,397,5,4,0,712.2,Healthcare
SHP000009,2025-10-24,2025-10-29,Old Dominion,Ground,NCCity1,NC,OHCity3,OH,463,5,5,0,939.0,Healthcare
SHP000010,2025-05-26,2025-06-04,Old Dominion,Intermodal,NCCity1,NC,OHCity3,OH,1501,7,9,1,1244.83,Retail
SHP000011,2025-04-22,2025-04-26,Old Dominion,Ground,OHCity1,OH,TXCity2,TX,1094,4,4,0,1441.09,Industrial
SHP000012,2025-03-12,2025-03-18,AIT Logistics Partner,LTL,PACity1,PA,NJCity1,NJ,1781,5,6,1,3708.77,Retail
SHP000013,2025-04-29,2025-04-30,UPS Supply Chain,Intermodal,ILCity2,IL,ILCity1,IL,2066,2,1,0,3884.95,Manufacturing
SHP000014,2025-07-09,2025-07-16,DHL Supply Chain,FTL,AZCity3,AZ,PACity3,PA,594,6,7,1,1008.4,Retail
SHP000015,2025-07-20,2025-07-27,AIT Logistics Partner,LTL,OHCity1,OH,PACity1,PA,1694,5,7,1,1583.21,Retail
SHP000016,2025-03-25,2025-03-28,FedEx Freight,FTL,GACity1,GA,OHCity3,OH,2540,2,3,1,2205.6,Retail
SHP000017,2025-01-14,2025-01-16,AIT Logistics Partner,Intermodal,FLCity2,FL,NCCity3,NC,2595,2,2,0,3345.21,Healthcare
SHP000018,2025-03-01,2025-03-09,FedEx Freight,Air,OHCity1,OH,CACity3,CA,2047,5,8,1,2925.13,Healthcare
SHP000019,2025-12-21,2025-12-23,DHL Supply Chain,Intermodal,NJCity1,NJ,OHCity3,OH,920,3,2,0,1873.38,Consumer
SHP000020,2025-06-02,2025-06-09,UPS Supply Chain,Intermodal,TXCity1,TX,PACity3,PA,1149,7,7,0,1693.53,Consumer
SHP000021,2025-11-22,2025-11-25,AIT Logistics Partner,Air,PACity1,PA,FLCity3,FL,1060,3,3,0,1975.66,Industrial
SHP000022,2025-01-15,2025-01-22,DHL Supply Chain,Intermodal,FLCity2,FL,TXCity3,TX,1141,4,7,1,1200.03,Healthcare
SHP000023,2025-04-23,2025-04-25,UPS Supply Chain,LTL,FLCity3,FL,CACity3,CA,2005,2,2,0,2116.71,Retail
SHP000024,2025-11-26,2025-11-28,UPS Supply Chain,LTL,OHCity1,OH,FLCity2,FL,1671,2,2,0,3036.2,Healthcare
SHP000025,2025-08-26,2025-08-31,UPS Supply Chain,Ground,CACity1,CA,AZCity3,AZ,730,5,5,0,745.33,Industrial
SHP000026,2025-11-02,2025-11-08,UPS Supply Chain,Ground,ILCity1,IL,NCCity3,NC,718,5,6,1,1086.52,Retail
SHP000027,2025-08-11,2025-08-14,XPO,FTL,PACity1,PA,ILCity3,IL,194,3,3,0,218.71,Healthcare
SHP000028,2025-08-03,2025-08-05,AIT Logistics Partner,FTL,NJCity3,NJ,PACity2,PA,1529,3,2,0,3007.57,Consumer
SHP000029,2025-03-19,2025-03-24,DHL Supply Chain,Ground,ILCity1,IL,PACity1,PA,1882,6,5,0,3405.4,Manufacturing
SHP000030,2025-03-03,2025-03-08,DHL Supply Chain,FTL,OHCity2,OH,NCCity1,NC,1415,6,5,0,2387.15,Consumer
SHP000031,2025-04-08,2025-04-11,DHL Supply Chain,Ground,TXCity1,TX,GACity2,GA,480,4,3,0,700.81,Healthcare
SHP000032,2025-11-07,2025-11-13,DHL Supply Chain,LTL,NCCity3,NC,PACity1,PA,1215,6,6,0,1686.48,Consumer
SHP000033,2025-04-14,2025-04-19,Old Dominion,Intermodal,NJCity1,NJ,PACity3,PA,1786,5,5,0,1711.18,Manufacturing
SHP000034,2025-04-19,2025-04-27,UPS Supply Chain,Intermodal,AZCity1,AZ,CACity2,CA,581,7,8,1,1142.32,Manufacturing
SHP000035,2025-02-18,2025-02-26,UPS Supply Chain,Air,OHCity3,OH,GACity2,GA,746,5,8,1,1556.78,Consumer
SHP000036,2025-08-04,2025-08-08,XPO,Ground,AZCity2,AZ,FLCity3,FL,1384,3,4,1,1273.08,Industrial
SHP000037,2025-07-16,2025-07-21,FedEx Freight,Air,OHCity1,OH,TXCity1,TX,2178,4,5,1,4462.74,Healthcare
SHP000038,2025-04-03,2025-04-07,AIT Logistics Partner,Intermodal,NJCity2,NJ,TXCity1,TX,1809,4,4,0,3445.18,Consumer
SHP000039,2025-09-11,2025-09-19,AIT Logistics Partner,Air,PACity2,PA,NCCity1,NC,446,7,8,1,518.6,Healthcare
SHP000040,2025-05-14,2025-05-16,FedEx Freight,LTL,TXCity1,TX,CACity2,CA,352,2,2,0,402.61,Consumer
SHP000041,2025-11-15,2025-11-17,FedEx Freight,Air,AZCity2,AZ,NJCity1,NJ,2238,3,2,0,3854.73,Manufacturing
SHP000042,2025-11-18,2025-11-22,AIT Logistics Partner,Air,GACity2,GA,NJCity2,NJ,1267,4,4,0,1747.69,Retail
SHP000043,2025-01-08,2025-01-10,Old Dominion,Ground,NJCity3,NJ,TXCity3,TX,2186,2,2,0,3097.97,Industrial
